participants,date_announced,business_description,type,SIC_primary,participant_nation,deal_number
Lazard Freres & Co LLC,1999-11-29,Investment bank,Strategic Alliance,6211,United States,946921045
USABancShares.com Inc,1999-12-02,Commercial bank holding co,Strategic Alliance,6022,United States,947813045
nFront Inc,1999-12-09,Pvd Internet banking prods,Strategic Alliance,7375,United States,949799045
Fidelity Federal Bank,1999-12-16,Bank,Strategic Alliance,6021,United States,953024045
"Security First Network Bk,GA",1999-12-20,Dvlp Internet banking software,Strategic Alliance,7372,United States,954724045
Morgan Stanley Dean Witter,1999-12-21,Investment bank,Strategic Alliance,6211,United States,955035045
"Marine Bancorp,Springfield,IL",1999-12-22,Commercial bank; holding co,Joint Venture,6021,United States,955593045
Bank of America Corp,1999-12-22,"Provide banking,financial svcs",Strategic Alliance,6021,United States,955339045
"Main Street Bancorp Inc,PA",1999-12-23,Commercial bank holding co,Joint Venture,6022,United States,956193045
"Bank One Corp,Chicago,IL",2000-01-04,Bank holding co,Joint Venture,6021,United States,958068045
"PNC Bank Corp,Pittsburgh,PA",2000-01-06,Bank holding company,Strategic Alliance,6021,United States,958854045
Michigan National Corp,2000-01-07,Bank holding company,Strategic Alliance,6021,United States,959581045
Republic Bank,2000-01-07,Commercial bank,Strategic Alliance,6021,United States,959217045
SunTrust Banks Inc,2000-01-10,Commercial bank holding co,Strategic Alliance,6021,United States,959638045
"First Union Corp,Charlotte,NC",2000-01-11,Commercial bank;holding co,Strategic Alliance,6021,United States,960780045
First Bankers Mtg Svcs Inc,2000-01-13,Mortgage bank,Strategic Alliance,6162,United States,961494045
NetLoanOfficer LLC,2000-01-13,Pvd Internet banking svcs,Strategic Alliance,6159,United States,961494045
"Lincoln Financial Corp,IN",2000-01-19,Commercial bank;holding co,Joint Venture,6021,United States,962874045
"US Bancorp,Minneapolis,MN",2000-01-20,Bank holding company,Strategic Alliance,6021,United States,963637045
Countrywide Home Loans Inc,2000-01-20,Mortgage bank,Strategic Alliance,6162,United States,963644045
MBNA Corp,2000-01-21,Commercial bank holding co,Strategic Alliance,6021,United States,963751045
Maryland Bank NA,2000-01-26,Commercial bank (for US),Strategic Alliance,6021,United States,965856045
"Comerica Bank,Dallas,Texas",2000-01-26,Commercial bank,Strategic Alliance,6022,United States,965856045
"First Union Corp,Charlotte,NC",2000-01-28,Commercial bank;holding co,Joint Venture,6021,United States,967548045
"Lone Star Bank,TX",2000-01-28,Commercial bank,Joint Venture,6021,United States,967456045
JP Morgan & Co Inc,2000-01-31,Investment bank,Joint Venture,6211,United States,972275045
Cruttenden Roth Inc,2000-02-01,Investment bank,Strategic Alliance,6211,United States,972858045
Veronis Suhler & Associates,2000-02-02,Media merchant bank,Joint Venture,6799,United States,973313045
Scudder Kemper Investments Inc,2000-02-02,Investment bank,Joint Venture,6211,United States,973259045
First Tennessee Merchant,2000-02-07,Bank holding company,Strategic Alliance,6011,United States,974883045
First Tennessee Merchant,2000-02-07,Bank holding company,Strategic Alliance,6011,United States,1216992045
Morgan Stanley Dean Witter,2000-02-08,Investment bank,Joint Venture,6211,United States,974474045
Morgan Stanley Dean Witter,2000-02-08,Investment bank,Joint Venture,6211,United States,974750045
Citicorp Information Tech,2000-02-10,Dvlp Internet banking software,Joint Venture,7372,United States,975994045
Chase Manhattan Bank,2000-02-16,Commercial bank,Joint Venture,6021,United States,977813045
MBNA Corp,2000-02-22,Commercial bank holding co,Strategic Alliance,6021,United States,979562045
Lehman Brothers Merchant,2000-02-22,Merchant bank,Joint Venture,6211,United States,979569045
Bank of America Corp,2000-02-23,"Provide banking,financial svcs",Joint Venture,6021,United States,979944045
Cendant Mortgage Corp,2000-02-28,Mortgage bank,Strategic Alliance,6162,United States,980781045
"First Bank of Beverly Hills,CA",2000-02-29,State charted commerical bank,Strategic Alliance,6022,United States,981715045
Wells Fargo & Co,2000-03-01,Bank holding company,Joint Venture,6021,United States,982096045
Maryland Bank NA,2000-03-07,Commercial bank (for US),Strategic Alliance,6021,United States,983991045
PTC Banking Systems Inc,2000-03-07,Dvlp banking software,Strategic Alliance,7372,United States,984061045
"PNC Bank Corp,Pittsburgh,PA",2000-03-08,Bank holding company,Joint Venture,6021,United States,983958045
JP Morgan & Co Inc,2000-03-13,Investment bank,Joint Venture,6211,United States,986182045
Morgan Stanley Dean Witter,2000-03-13,Investment bank,Joint Venture,6211,United States,986182045
Salomon Smith Barney Holdings,2000-03-13,Investment bank,Joint Venture,6211,United States,986182045
Citibank NA,2000-03-13,Commercial bank (for US),Strategic Alliance,6021,United States,985846045
"Chase Manhattan Corp,NY",2000-03-16,Bank holding company,Joint Venture,6021,United States,987463045
Wells Fargo & Co,2000-03-16,Bank holding company,Joint Venture,6021,United States,987463045
"Chase Manhattan Corp,NY",2000-03-16,Bank holding company,Joint Venture,6021,United States,987564045
Bank of America Corp,2000-03-16,"Provide banking,financial svcs",Joint Venture,6021,United States,987564045
"First Union Corp,Charlotte,NC",2000-03-22,Commercial bank;holding co,Strategic Alliance,6021,United States,989712045
BankAmerica Investment Corp,2000-03-23,Commercial bank,Joint Venture,6021,United States,990123045
M&I Eastpoint Technology Inc,2000-03-24,Dvlp banking software,Strategic Alliance,7372,United States,990743045
Netzee Inc,2000-03-24,Provide Internet banking prods,Strategic Alliance,7389,United States,990805045
First Internet Bank,2000-03-27,Commercial Banking,Strategic Alliance,6029,United States,991463045
Cendant Mortgage Corp,2000-03-27,Mortgage bank,Strategic Alliance,6162,United States,991485045
Adirondack Trading Partners,2000-03-30,Investment bank,Joint Venture,6211,United States,992987045
JP Morgan & Co Inc,2000-03-30,Investment bank,Joint Venture,6211,United States,992788045
Houlihan Lokey Howard & Zukin,2000-03-30,Invest bank,Strategic Alliance,6211,United States,993120045
JP Morgan & Co Inc,2000-03-31,Investment bank,Joint Venture,6211,United States,993112045
"Centura Bank,Rocky Mount,North",2000-04-04,Commercial bank,Strategic Alliance,6022,United States,993750045
Bank of America Corp,2000-04-05,"Provide banking,financial svcs",Strategic Alliance,6021,United States,994255045
Chase Manhattan Bank,2000-04-10,Commercial bank,Joint Venture,6021,United States,996125045
JP Morgan & Co Inc,2000-04-10,Investment bank,Joint Venture,6211,United States,996125045
Morgan Stanley Dean Witter,2000-04-10,Investment bank,Joint Venture,6211,United States,996125045
JP Morgan & Co Inc,2000-04-11,Investment bank,Joint Venture,6211,United States,996223045
Bank of America Corp,2000-04-11,"Provide banking,financial svcs",Strategic Alliance,6021,United States,996163045
"Bank One Corp,Chicago,IL",2000-04-12,Bank holding co,Strategic Alliance,6021,United States,997038045
"Fleet Boston Corp,Boston,MA",2000-04-13,Bank holding company,Strategic Alliance,6021,United States,1081044045
Standard Chartered Bank Group,2000-04-14,Bank,Strategic Alliance,6029,United States,997683045
Telebank,2000-04-17,Pvd ecommerce banking svcs,Strategic Alliance,7375,United States,998376045
Wells Fargo & Co,2000-04-21,Bank holding company,Strategic Alliance,6021,United States,999656045
"First Union Corp,Charlotte,NC",2000-05-02,Commercial bank;holding co,Strategic Alliance,6021,United States,1001938045
Bank of America Equity Partner,2000-05-03,Investment bank,Joint Venture,6211,United States,1002652045
CFI Mortgage Inc,2000-05-04,Mortgage bank,Strategic Alliance,6162,United States,1003285045
MG Investments Inc,2000-05-04,Mortgage bank,Strategic Alliance,6162,United States,1003285045
"Farmers & Merchants Bank,Keyse",2000-05-11,Commercial bank,Strategic Alliance,6022,United States,1005245045
Commonwealth Bank,2000-05-16,Coml bank,Strategic Alliance,6021,United States,1006841045
City National Bank Corp,2000-05-16,Bank holding company,Strategic Alliance,6021,United States,1007061045
Wilmington Svgs-Everbank.com,2000-05-16,Pvd internet banking svcs,Strategic Alliance,7375,United States,1006665045
"Woodforest Natl Bk,Houston,TX",2000-05-17,Commercial bank,Strategic Alliance,6021,United States,1007504045
ABN AMRO North America Inc,2000-05-17,Commercial bank,Strategic Alliance,6021,United States,1007051045
GMAC Mortgage Corp,2000-05-19,Mortgage bank,Strategic Alliance,6162,United States,1008062045
Bank of America Corp,2000-05-22,"Provide banking,financial svcs",Joint Venture,6021,United States,1008010045
PNC Finl Services Group Inc,2000-05-30,Bank holding company,Strategic Alliance,6021,United States,1011021045
PNC Finl Services Group Inc,2000-05-31,Bank holding company,Strategic Alliance,6021,United States,1010964045
MortgageSelect.com,2000-06-05,Mortgage bank,Strategic Alliance,6162,United States,1013139045
BankZip.com,2000-06-05,Pvd internet banking svs,Strategic Alliance,6035,United States,1013134045
"Anchor Securities, Inc.",2000-06-12,Investment bank,Strategic Alliance,6211,United States,1014453045
Bank of America Corp,2000-06-13,"Provide banking,financial svcs",Joint Venture,6021,United States,1014850045
Morgan Stanley Dean Witter,2000-06-13,Investment bank,Joint Venture,6211,United States,1014850045
JP Morgan & Co Inc,2000-06-13,Investment bank,Joint Venture,6211,United States,1014850045
InteliData Technologies Corp,2000-06-13,Pvd online banking svcs,Strategic Alliance,6029,United States,1088337045
InteliData Technologies Corp,2000-06-15,Pvd online banking svcs,Strategic Alliance,6029,United States,1088366045
Bank of America Corp,2000-06-26,"Provide banking,financial svcs",Strategic Alliance,6021,United States,1020723045
Morgan Stanley Dean Witter,2000-06-27,Investment bank,Joint Venture,6211,United States,1078040045
Salomon Smith Barney Holdings,2000-06-27,Investment bank,Joint Venture,6211,United States,1078040045
Goldman Sachs & Co,2000-06-27,Investment bank,Joint Venture,6211,United States,1021826045
Bank of America Corp,2000-06-29,"Provide banking,financial svcs",Strategic Alliance,6021,United States,1078777045
Credit Suisse First Boston,2000-06-29,Investment bank,Joint Venture,6211,United States,1078507045
First United Mortgage Bank Inc,2000-06-29,Mortgage bank,Strategic Alliance,6162,United States,1078533045
KPMG,2000-07-05,Investment bank,Joint Venture,6211,United States,1022398045
Bluestone Capital Partners LP,2000-07-05,Provides investment banking services,Joint Venture,6211,United States,1022375045
HomeSide International Inc,2000-07-12,Mortgage bank,Strategic Alliance,6162,United States,1024215045
BankZip.com,2000-07-13,Pvd internet banking svs,Strategic Alliance,6035,United States,1026398045
Lehman Brothers Bancorp Inc,2000-07-18,Pvd commercial banking svcs,Joint Venture,6022,United States,1209818045
Citibank NA,2000-07-18,Commercial bank (for US),Strategic Alliance,6021,United States,1026114045
KPMG,2000-07-20,Investment bank,Joint Venture,6211,United States,1027127045
X.Com Corp(marchFIRST Inc),2000-07-25,Pvd online banking services,Strategic Alliance,6021,United States,1028758045
JP Morgan & Co Inc,2000-07-31,Investment bank,Joint Venture,6211,United States,1031499045
Citibank NA,2000-08-07,Commercial bank (for US),Strategic Alliance,6021,United States,1043589045
Salomon Smith Barney Holdings,2000-08-09,Investment bank,Joint Venture,6211,United States,1035125045
Citibank NA,2000-08-17,Commercial bank (for US),Strategic Alliance,6021,United States,1037972045
Aurora Partners,2000-08-23,Investment bank,Joint Venture,6211,United States,1039891045
Morgan Stanley Dean Witter,2000-08-29,Investment bank,Joint Venture,6211,United States,1041802045
Bank of America II,2000-08-29,Bank,Strategic Alliance,6022,United States,1041448045
Laidlaw Global Corp,2000-09-01,Investment bank,Strategic Alliance,6211,United States,1043291045
Citibank NA,2000-09-01,Commercial bank (for US),Strategic Alliance,6021,United States,1042618045
Morgan Stanley Dean Witter,2000-09-06,Investment bank,Joint Venture,6211,United States,1044487045
Comerica Securities,2000-09-07,Investment bank,Strategic Alliance,6211,United States,1044213045
InCapital LLC,2000-09-18,Investment Banking and Securities Dealing,Strategic Alliance,6211,United States,1047559045
Citibank NA,2000-09-20,Commercial bank (for US),Strategic Alliance,6021,United States,1047961045
First Tennessee Bank NA,2000-09-22,Commercial bank (for US),Strategic Alliance,6021,United States,1049645045
Citibank NA,2000-09-22,Commercial bank (for US),Strategic Alliance,6021,United States,1048295045
"FleetBoston Financial Corp,MA",2000-09-26,Bank holding co,Strategic Alliance,6021,United States,1050101045
Broadway Federal Bank FSB,2000-09-28,Federal bank,Strategic Alliance,6011,United States,1051404045
Bank of America Corp,2000-10-02,"Provide banking,financial svcs",Strategic Alliance,6021,United States,1052197045
GMAC Mortgage Corp,2000-10-02,Mortgage bank,Strategic Alliance,6162,United States,1052198045
Capital One Bank,2000-10-03,"Pvd banking,lending svcs",Strategic Alliance,6029,United States,1052647045
"Amicus FSB,Cicero,Illinois",2000-10-12,Pvd electronic banking svcs,Strategic Alliance,7375,United States,1055821045
CFI Mortgage Inc,2000-10-16,Mortgage bank,Strategic Alliance,6162,United States,1056427045
Bell Mortgage Co,2000-10-16,Mortgage bank,Strategic Alliance,6162,United States,1056542045
National Commerce Bank Svcs In,2000-10-17,Bank,Strategic Alliance,6029,United States,1056874045
Morgan Stanley Dean Witter,2000-10-26,Investment bank,Joint Venture,6211,United States,1060020045
Bank of America Corp,2000-11-02,"Provide banking,financial svcs",Joint Venture,6021,United States,1062042045
Chase Manhattan Bank,2000-11-02,Commercial bank,Joint Venture,6021,United States,1062042045
Countrywide Home Loans Inc,2000-11-09,Mortgage bank,Strategic Alliance,6162,United States,1064169045
ABN AMRO North America Inc,2000-11-30,Commercial bank,Strategic Alliance,6021,United States,1069991045
Morgan Stanley Dean Witter,2000-12-04,Investment bank,Joint Venture,6211,United States,1070958045
Scudder Kemper Investments Inc,2000-12-05,Investment bank,Joint Venture,6211,United States,1071378045
Chase Manhattan Bank,2000-12-05,Commercial bank,Strategic Alliance,6021,United States,1071379045
ING (U.S.) Capital LLC,2000-12-08,Commercial bank,Strategic Alliance,6021,United States,1072877045
KPMG,2000-12-14,Investment bank,Joint Venture,6211,United States,1074729045
World's Foremost Bank N.A.,2000-12-18,Bank,Strategic Alliance,6029,United States,1075879045
HomeGold Financial Inc,2000-12-19,Mortgage bank,Strategic Alliance,6162,United States,1076396045
Surety Mortgage Inc,2000-12-19,Mortgage bankers,Strategic Alliance,6162,United States,1076396045
Bank of East Asia(USA)NA,2000-12-19,Commercial bank,Strategic Alliance,6021,United States,1077506045
Salomon Smith Barney Holdings,2000-12-21,Investment bank,Strategic Alliance,6211,United States,1077133045
"Sun Bancorp Inc,Vineland,NJ",2000-12-27,Provides consumer and business banking services,Joint Venture,6021,United States,1078073045
Citibank NA,2001-02-16,Commercial bank (for US),Strategic Alliance,6021,United States,1157262045
Citibank NA,2001-02-20,Commercial bank (for US),Strategic Alliance,6021,United States,1158290045
American Intl Assurance,2001-02-21,Investment bank,Strategic Alliance,6211,United States,1158257045
Citibank NA,2001-02-22,Commercial bank (for US),Strategic Alliance,6021,United States,1158698045
Citibank NA,2001-03-02,Commercial bank (for US),Strategic Alliance,6021,United States,1161067045
Citibank NA,2001-03-05,Commercial bank (for US),Strategic Alliance,6021,United States,1164703045
Citibank NA,2001-03-05,Commercial bank (for US),Strategic Alliance,6021,United States,1161335045
Citibank NA,2001-03-06,Commercial bank (for US),Strategic Alliance,6021,United States,1162014045
Brumbaugh & Fulton(First Coml),2001-03-12,"Mortgage bank,bank holding co",Strategic Alliance,6162,United States,1164054045
Michigan National Corp,2001-03-14,Bank holding company,Strategic Alliance,6021,United States,1164645045
Capital One Financial Corp,2001-03-16,Bank Holding Company,Strategic Alliance,6022,United States,1165543045
Bank of America Corp,2001-03-20,"Provide banking,financial svcs",Strategic Alliance,6021,United States,1166540045
"First Tennessee Bank Assoc,TN",2001-04-02,Commercial bank,Strategic Alliance,6021,United States,1170647045
"FleetBoston Financial Corp,MA",2001-04-09,Bank holding co,Strategic Alliance,6021,United States,1175016045
CFI Mortgage Inc,2001-04-17,Mortgage bank,Joint Venture,6162,United States,1174228045
Bank of America Corp,2001-05-01,"Provide banking,financial svcs",Strategic Alliance,6021,United States,1180104045
California Commerce Bank,2001-05-03,Commercial bank,Strategic Alliance,6022,United States,1181422045
Morgan Stanley & Co Intl Ltd,2001-05-12,Invest bank,Joint Venture,6211,United States,1183616045
American Intl Assurance,2001-05-24,Investment bank,Strategic Alliance,6211,United States,1188085045
Northern Trust Co,2001-06-15,Commercial bank,Joint Venture,6022,United States,1193919045
ABN AMRO North America Inc,2001-07-02,Commercial bank,Strategic Alliance,6021,United States,1198864045
Bank of America Corp,2001-07-02,"Provide banking,financial svcs",Joint Venture,6021,United States,1198857045
"US Bancorp,Minneapolis,MN",2001-07-02,Bank holding company,Joint Venture,6021,United States,1198857045
American Red Cross Plasma Svcs,2001-07-04,Blood bank,Strategic Alliance,8099,United States,1199379045
Countrywide Credit Industries,2001-07-11,Mortgage bank,Joint Venture,6162,United States,1200999045
Bank of America Corp,2001-07-11,"Provide banking,financial svcs",Strategic Alliance,6021,United States,1201012045
Bank of America Corp,2001-07-17,"Provide banking,financial svcs",Strategic Alliance,6021,United States,1202591045
Citibank NA,2001-07-19,Commercial bank (for US),Strategic Alliance,6021,United States,1203457045
First Union Securities Inc,2001-08-08,Investment bank,Strategic Alliance,6211,United States,1209028045
Silicn Valley Bank,2001-08-08,Commercial Banking,Strategic Alliance,6021,United States,1200404045
Bank of America Corp,2001-08-14,"Provide banking,financial svcs",Strategic Alliance,6021,United States,1215671045
Southwest Bank of Texas,2001-08-14,Commercial bank,Strategic Alliance,6022,United States,1210385045
"FirstMerit Bank,Clearwater,FL",2001-08-28,Savings bank,Strategic Alliance,6035,United States,1217426045
"Community First Bankshares,ND",2001-09-05,Coml bank hldg co,Joint Venture,6022,United States,1219924045
Wells Fargo & Co,2001-09-05,Bank holding company,Joint Venture,6021,United States,1219924045
Deluxe Financial Services,2001-10-01,Publish bank checks,Strategic Alliance,2782,United States,1332629045
Cendant Mortgage Corp,2001-10-04,Mortgage bank,Strategic Alliance,6162,United States,1226843045
Allstate Bank,2001-10-04,Bank,Strategic Alliance,6021,United States,1226843045
SBI E2-Capital (USA) Inc,2001-10-09,Pvd investment banking svcs,Strategic Alliance,6211,United States,1227935045
E*Trade Bank,2001-10-11,Pvd electronic banking svcs,Strategic Alliance,7375,United States,1228356045
Bank of America Corp,2001-10-25,"Provide banking,financial svcs",Strategic Alliance,6021,United States,1249714045
Cendant Mortgage Corp,2001-10-31,Mortgage bank,Strategic Alliance,6162,United States,1239091045
GMAC Bank,2001-11-01,Federall bank,Strategic Alliance,6011,United States,1240278045
Goldman Sachs & Co,2001-11-12,Investment bank,Strategic Alliance,6211,United States,1237612045
Goldman Sachs & Co,2001-11-20,Investment bank,Joint Venture,6211,United States,1359426045
"High Street Corp,Asheville,NC",2001-12-17,Commercial bank holding co,Strategic Alliance,6021,United States,1252047045
"Fidelity Natl Corp,Atlanta,GA",2002-01-14,Bank holding company,Strategic Alliance,6035,United States,426045
"Fidelity Natl Corp,Atlanta,GA",2002-01-14,Bank holding company,Strategic Alliance,6035,United States,1261816045
Citibank NA,2002-01-21,Commercial bank (for US),Strategic Alliance,6021,United States,1263581045
"Community Banks Inc,PA",2002-01-24,Commercial bank,Strategic Alliance,6021,United States,1265254045
Citibank NA,2002-01-29,Commercial bank (for US),Strategic Alliance,6021,United States,1266414045
SBI E2-Capital (USA) Inc,2002-02-05,Pvd investment banking svcs,Strategic Alliance,6211,United States,1268130045
"Mellon Financial,Pittsburgh,PA",2002-02-20,Bank hldg co,Strategic Alliance,6021,United States,1271596045
Chanin Capital Partners,2002-02-20,Investment bank,Joint Venture,6211,United States,1272040045
First Premier Bank NA,2002-03-05,Commercial bank,Strategic Alliance,6021,United States,1276902045
Morgan Stanley Dean Witter,2002-03-06,Investment bank,Strategic Alliance,6211,United States,1277292045
Baring Securities Inc,2002-03-22,Bank,Joint Venture,6029,United States,1281929045
"Fidelity Bank,Atlanta,Georgia",2002-03-28,Commercial bank (for US),Strategic Alliance,6021,United States,1286817045
"Fidelity Natl Corp,Atlanta,GA",2002-03-28,Bank holding company,Strategic Alliance,6035,United States,1284441045
SunTrust Banks Inc,2002-04-01,Commercial bank holding co,Joint Venture,6021,United States,1284030045
"Texas Capital Bank,Dallas",2002-04-17,Commercial Banking,Strategic Alliance,6029,United States,1288153045
HomeGold Financial Inc,2002-04-26,Mortgage bank,Strategic Alliance,6162,United States,1290420045
Citibank NA,2002-05-01,Commercial bank (for US),Strategic Alliance,6021,United States,1309073045
Open Solutions Inc,2002-05-06,"Pvd ecommerce,banking software",Strategic Alliance,7372,United States,1317543045
InteliData Technologies Corp,2002-05-07,Pvd online banking svcs,Strategic Alliance,6029,United States,1293048045
Nexus Software Inc(Diebold),2002-05-13,Dvlp retail bank br software,Strategic Alliance,7372,United States,1295927045
"interSTATE NET BANK,NJ",2002-05-24,State chartered coml bank,Strategic Alliance,6022,United States,1297627045
Greenpoint Mortgage,2002-06-04,National mortgage banking co,Strategic Alliance,6162,United States,1300123045
"Bank One Corp,Chicago,IL",2002-06-04,Bank holding co,Strategic Alliance,6021,United States,1301565045
Chanin Capital Partners,2002-07-23,Investment bank,Strategic Alliance,6211,United States,1313644045
Mellon Bank-Banking Offices(3),2002-07-23,Commercial bank,Joint Venture,6021,United States,1313752045
"Mellon Financial,Pittsburgh,PA",2002-07-24,Bank hldg co,Joint Venture,6021,United States,1314197045
"National City Mortgage Co,OH",2002-08-14,Mortgage bank,Strategic Alliance,6162,United States,1319741045
"Mellon Financial,Pittsburgh,PA",2002-08-15,Bank hldg co,Joint Venture,6021,United States,1319969045
Goldman Sachs & Co,2002-08-30,Investment bank,Joint Venture,6211,United States,1323911045
Charter One Mortgage Corp,2002-09-04,Mortgage bank,Strategic Alliance,6162,United States,1324961045
SunTrust Robinson Humphrey,2002-09-12,Investment bank,Strategic Alliance,6211,United States,1326902045
Trapeza Funding LLC,2002-09-12,Investment bank,Strategic Alliance,6211,United States,1326902045
"Mercantile Bankshares Corp,MD",2002-09-18,Bank hldg co,Strategic Alliance,6712,United States,1328339045
NBC Capital Markets Group Inc,2002-09-23,Investment bank,Strategic Alliance,6211,United States,1329642045
Morgan Stanley,2002-10-11,Pvd invest banking svcs,Joint Venture,6211,United States,1334738045
Stewart Mortgage Infor Co,2002-10-15,Mortgage bank,Strategic Alliance,6162,United States,1335285045
Bank of New York(DE),2002-10-16,Commercial bank,Strategic Alliance,6021,United States,1335757045
FairWay of America,2002-10-17,Mortgage bank,Joint Venture,6162,United States,1336102045
Morgan Stanley,2002-10-29,Pvd invest banking svcs,Strategic Alliance,6211,United States,1339160045
First Commercial Bank NA,2002-11-01,Commercial bank,Strategic Alliance,6021,United States,1341270045
Chanin Capital Partners,2002-11-01,Investment bank,Strategic Alliance,6211,United States,1341192045
Harris Williams & Co,2002-11-04,Investment bank,Strategic Alliance,6211,United States,1341531045
Digital Coast Partners LLC,2002-11-11,Pvd investment banking svcs,Strategic Alliance,6211,United States,1344110045
Chase Manhattan Bank USA,2002-12-05,Pvd commercial banking svcs,Strategic Alliance,6021,United States,1358054045
Citibank NA,2002-12-31,Commercial bank (for US),Joint Venture,6021,United States,1373084045
Morgan Stanley,2003-01-23,Pvd invest banking svcs,Strategic Alliance,6211,United States,1365684045
Springboard Capital Corp,2003-01-31,Pvd online invest banking svcs,Strategic Alliance,7375,United States,1367890045
Montrose & Co Intl LLC,2003-02-01,Investment bank,Strategic Alliance,6211,United States,1367900045
Bank of New York(DE),2003-02-04,Commercial bank,Strategic Alliance,6021,United States,1398108045
Mercantile-Safe Deposit Trust,2003-02-10,Commercial bank,Joint Venture,6021,United States,1369806045
American Red Cross Plasma Svcs,2003-02-16,Blood bank,Strategic Alliance,8099,United States,1482236045
"Palm Desert National Bank,CA",2003-03-13,Commercial bank,Strategic Alliance,6021,United States,1377941045
Morgan Stanley,2003-03-25,Pvd invest banking svcs,Joint Venture,6211,United States,1380830045
CIT Group Inc,2003-04-04,Bank and financial holding company,Joint Venture,6021,United States,1384304045
Northern Trust Co,2003-04-11,Commercial bank,Strategic Alliance,6022,United States,1385536045
Cendant Mortgage Corp,2003-04-11,Mortgage bank,Strategic Alliance,6162,United States,1385536045
Madison Keats,2003-04-22,Investment bank,Strategic Alliance,6211,United States,1387482045
Sands Brothers & Co Ltd,2003-04-28,Investment bank,Strategic Alliance,6211,United States,1388923045
Musculoskeletal Transplant,2003-05-05,Non-profit tissue bank,Strategic Alliance,2836,United States,1404408045
Grant Enterprises Inc,2003-06-04,Non-bank holding co,Strategic Alliance,3999,United States,1403345045
Musculoskeletal Transplant,2003-06-10,Non-profit tissue bank,Strategic Alliance,2836,United States,1404416045
Musculoskeletal Transplant,2003-06-17,Non-profit tissue bank,Strategic Alliance,2836,United States,1406489045
Citibank NA,2003-06-18,Commercial bank (for US),Strategic Alliance,6021,United States,1406078045
Bank of America Corp,2003-07-25,"Provide banking,financial svcs",Strategic Alliance,6021,United States,1418386045
Nexus Software Inc(Diebold),2003-07-28,Dvlp retail bank br software,Strategic Alliance,7372,United States,1419798045
Coldwater Capital LLC,2003-07-30,Investment bank,Strategic Alliance,6211,United States,1422939045
"Flagstar Bank,FSB,Troy,MI",2003-08-01,Commercial bank,Strategic Alliance,6021,United States,1421966045
RBMG Inc,2003-08-01,Mortgage bank,Strategic Alliance,6162,United States,1421958045
Countrywide Home Loans Inc,2003-09-03,Mortgage bank,Joint Venture,6162,United States,1430198045
Commerce Bk Missouri,2003-10-02,Commercial bank,Strategic Alliance,6021,United States,1438673045
Ohio Savings Bank,2003-10-13,Commercial bank,Strategic Alliance,6021,United States,1442792045
CapitalBank,2003-10-29,Bank (foreign),Strategic Alliance,6029,United States,1445893045
Bryn Mawr Trust Co,2003-11-03,Commercial Banking,Strategic Alliance,6021,United States,1450915045
Countrywide Home Loans Inc,2003-11-17,Mortgage bank,Joint Venture,6162,United States,1452032045
"Indymac Bank,Pasadena,CA",2003-11-19,Mortgage bank,Strategic Alliance,6162,United States,1452036045
John M Floyd & Associates,2003-12-16,Pvd bank consulting svcs,Strategic Alliance,8748,United States,1460412045
Putnam Lovell NBF Securities,2003-12-17,Investment bank,Strategic Alliance,6211,United States,1460270045
Open Solutions Inc,2003-12-23,Dvlp banking software,Strategic Alliance,7373,United States,1465015045
"Peoples Bancorp,Marietta,OH",2003-12-31,Commercial bank hldg co,Strategic Alliance,6021,United States,1464363045
May Davis Group Inc,2004-01-05,Investment bank,Strategic Alliance,6211,United States,1464621045
Countrywide Home Loans Inc,2004-01-06,Mortgage bank,Joint Venture,6162,United States,1465012045
New York Global Securities Inc,2004-01-20,Investment bank,Strategic Alliance,6211,United States,1468684045
MBNA Corp,2004-01-21,Commercial bank holding co,Strategic Alliance,6021,United States,1469185045
NewBorn Blood Banking Inc,2004-01-30,Pvd blood banking svcs,Strategic Alliance,8099,United States,1481304045
Countrywide Home Loans Inc,2004-02-10,Mortgage bank,Joint Venture,6162,United States,1485189045
Beacon Software Inc,2004-02-16,Dvlp internet banking software,Strategic Alliance,7372,United States,1498402045
"Coml Capital Bancorp Inc,CA",2004-02-25,Commercial bank,Strategic Alliance,6021,United States,1501326045
"United Finl Mtg Corp,Illinois",2004-03-11,Mortgage bank,Strategic Alliance,6162,United States,1505980045
Capital Institutional,2004-03-29,Investment bank,Strategic Alliance,6211,United States,1510587045
Countrywide Home Loans Inc,2004-04-13,Mortgage bank,Joint Venture,6162,United States,1514659045
Del Mar Database,2004-04-19,Dvlp mortgage banking software,Strategic Alliance,7372,United States,1516266045
Merrick Bank,2004-04-22,Bank,Strategic Alliance,6000,United States,1520205045
Gulf Associates Inc,2004-04-22,Investment bank,Joint Venture,6211,United States,1517110045
Beacon Software Inc,2004-04-28,Dvlp internet banking software,Strategic Alliance,7372,United States,1522500045
Credit Suisse First Boston,2004-05-18,Investment bank,Joint Venture,6211,United States,1527795045
"Calnet Business Bank,CA",2004-05-28,Commercial bank,Strategic Alliance,6021,United States,1531387045
"Mellon Financial,Pittsburgh,PA",2004-06-07,Bank hldg co,Strategic Alliance,6021,United States,1532879045
"Natl Commerce Finl Corp,TN",2004-06-07,Commercial bank; holding co,Strategic Alliance,6021,United States,1536448045
Fortune Group,2004-06-08,Investment bank,Strategic Alliance,6211,United States,1536484045
